"","geneSet","description","link","size","overlap","expect","enrichmentRatio","pValue","FDR","overlapId","userId","CellType","Comparison","DB","Direction"
"11","GO:0044782","cilium organization","http://amigo.geneontology.org/amigo/term/GO:0044782",318,34,14.8922884795504,2.2830607966457,5.95481454213065e-06,0.000604413676026261,"12589;13193;18004;18536;19893;21821;52184;64009;67161;67590;68146;68259;71492;72140;73668;74025;74694;102747;108686;110350;213081;216274;225523;236266;237222;241950;244585;277939;320634;328108;329795;380614;381644;654470","Ttc21b;Bbs7;Bbs12;Intu;Sclt1;Ift80;Odf2l;Tmem67;Wdr19;Cep135;Tctn1;Ift81;Alms1;Cep89;C2cd3;Pcm1;Nek1;Rpgrip1l;Dync2h1;Lrrc49;Nphp3;Syne1;Cep290;Tbc1d30;Ccdc88a;Togaram1;Ift88;Arl13b;Cep120;Tctn3;Rpgr;Ocrl;Dcx;Ofd1","Excitatory","FCDvsNT","BP","Down"
"12","GO:0015931","nucleobase-containing compound transport","http://amigo.geneontology.org/amigo/term/GO:0015931",192,24,8.99157040274742,2.66916666666667,1.08084925174445e-05,0.000975166213796107,"12877;59015;65246;66118;66874;71514;71701;72416;73473;74213;75826;97112;170762;192287;218210;226747;227720;229782;234069;235626;269113;269966;331401;432508","Ahctf1;Nup214;Nup160;Nmd3;Slc35a3;Sfpq;Nup54;Cpeb1;Nup98;Pcid2;Slc25a36;Setd2;Cpsf6;Sarnp;Pnpt1;Ncbp3;Nup153;Xpo7;Rbm26;Nup155;Senp2;Lrpprc;Iws1;Thoc2","Excitatory","FCDvsNT","BP","Down"
"13","GO:0070646","protein modification by small protein removal","http://amigo.geneontology.org/amigo/term/GO:0070646",125,18,5.85388698095535,3.07488,2.01284265559654e-05,0.00163442823634439,"17847;22258;26895;30940;59029;66960;73945;75826;77593;110616;170707;215351;223870;228790;235323;235441;237898;360216","Cops7b;Mindy3;Psmd14;Asxl1;Usp45;Usp48;Zranb1;Otud4;Usp28;Usp3;Senp6;Usp4;Usp34;Usp32;Atxn3;Senp1;Senp2;Usp25","Excitatory","FCDvsNT","BP","Down"
"14","GO:0010498","proteasomal protein catabolic process","http://amigo.geneontology.org/amigo/term/GO:0010498",416,39,19.4817358726194,2.001875,2.80026216513685e-05,0.00206710261644647,"11865;12753;17222;18763;22222;23806;24086;26374;26419;30940;54607;56469;57438;59029;63958;66313;66799;66967;67128;68795;71492;74125;76857;94253;108155;110616;217365;217734;223870;224023;225131;226144;226541;230249;231600;236904;237500;242960;329795","Ube2w;Edem3;Cop1;Klhl20;Spopl;March7;Psmd14;Ubr3;Ubr1;Anapc1;Bbs7;Tmem67;Ecpas;Ube4b;Fbxl5;Clock;Chfr;Arntl;Arih1;Pias1;Armc8;Tmtc3;Ube2g1;Tlk2;Smurf2;Nploc4;Pomt2;Atxn3;Hecw1;Mapk8;Senp1;Klhl22;Usp25;Pkd1;Wac;Socs6;Erlin1;Klhl15;Ogt","Excitatory","FCDvsNT","BP","Down"
"15","GO:0051169","nuclear transport","http://amigo.geneontology.org/amigo/term/GO:0051169",301,31,14.0961598501405,2.19918050941307,3.19342213624951e-05,0.0021608823121955,"11865;18760;18763;18767;26416;56417;57258;59015;65246;66118;66880;73473;74204;74213;76582;97112;170762;218210;227720;230500;230908;234069;235626;269113;269800;269966;320727;320938;328572;331401;432508","Nup214;Nup160;Pkia;Rsrc1;Nmd3;Adar;Efcab7;Tardbp;Nup54;Tnpo3;Zfp384;Ipo8;Nup98;Arntl;Xpo6;Pcid2;Setd2;Cpsf6;Sarnp;Prkd1;Nup153;Ipo11;Xpo4;Xpo7;Rbm26;Nup155;Ep300;Pkd1;Mapk14;Iws1;Thoc2","Excitatory","FCDvsNT","BP","Down"
"16","GO:0006281","DNA repair","http://amigo.geneontology.org/amigo/term/GO:0006281",422,38,19.7627224477053,1.92281200631912,8.43685441250797e-05,0.00526978906381267,"11920;12572;13990;14050;14897;17685;19356;22427;27223;56210;56515;59029;66799;67967;68142;71175;71514;74355;76251;77593;79221;97827;104806;105377;107823;191578;218294;218973;225876;233545;233789;235134;235323;235441;235626;236904;268281;269254","Ube2w;Rev1;Trip12;Setx;Psmd14;Ino80;Trp53bp1;Usp45;Sfpq;Eya3;Nsd2;Helq;Smarcad1;Emsy;Pold3;Smg1;Wrn;Nfrkb;Usp28;Atm;Usp3;Setd2;Shprh;Hdac9;Fancm;Exd2;Ercc6l2;Cdc14b;Slf1;Rad17;Cdk7;Wdhd1;Nipbl;Smchd1;Msh2;Rnf138;Kdm2a;Klhl15","Excitatory","FCDvsNT","BP","Down"
"17","GO:0034453","microtubule anchoring","http://amigo.geneontology.org/amigo/term/GO:0034453",25,7,1.17077739619107,5.97893333333333,0.000109514690431967,0.00635185204505406,"12121;18536;54648;74081;76499;76707;320191","Clasp1;Cep350;Bicd1;Hook3;Pcm1;Clasp2;Ccdc120","Excitatory","FCDvsNT","BP","Down"
"18","GO:0007346","regulation of mitotic cell cycle","http://amigo.geneontology.org/amigo/term/GO:0007346",460,40,21.5423040899157,1.8568115942029,0.000118006333253651,0.00638807617346429,"11909;11920;12298;12366;12531;13383;17222;17685;18763;18764;18767;18795;19356;20842;52477;52563;57261;68014;68142;69188;71175;71177;71701;71943;72400;72508;75826;81702;94315;105377;214498;216166;217232;218294;224023;227331;231600;234069;237877;240255","Gigyf2;Cdc73;Angel2;Cacnb4;Atf2;Ino80;Anapc1;Cdc25b;Plcb1;Pkia;Prcc;Kmt2e;Ankrd17;Pkd2;Chfr;Casp2;Ints13;Pcid2;Atm;Zwilch;Stag1;Plk5;Pnpt1;Atad5;Rps6kb1;Tom1l1;Cdc27;Cdc14b;Slf1;Rad17;Pinx1;Nipbl;Klhl22;Senp2;Dlg1;Pkd1;Brd4;Msh2;Cdc23;Ythdc2","Excitatory","FCDvsNT","BP","Down"
"19","GO:0008380","RNA splicing","http://amigo.geneontology.org/amigo/term/GO:0008380",330,31,15.4542616297221,2.00591919191919,0.000177725553481944,0.00901957183920868,"11834;18139;20624;21841;22258;54614;56194;56195;66880;67039;67040;67493;67684;69131;69207;71514;73473;74200;83486;114642;170791;192196;218543;230908;236732;269254;269966;272009;331401;338351;664883","Setx;Prpf40a;Aqr;Rbm39;Rsrc1;Khdc4;Ptbp2;Srsf11;Srsf12;Sfpq;Tardbp;Brdt;Luc7l2;Zfp638;Tia1;Nup98;Rbm5;Usp4;Mettl16;Luc7l3;Cdk12;Eftud2;Nova1;Rbm25;Srek1;Ddx17;Prpf40b;Iws1;Rbm10;Akap17b;Thoc2","Excitatory","FCDvsNT","BP","Down"
"20","GO:0016458","gene silencing","http://amigo.geneontology.org/amigo/term/GO:0016458",162,19,7.58663752731814,2.50440329218107,0.00020599346896466,0.0098392174587826,"15201;15260;15568;56417;67040;71148;72068;74355;76850;80912;94223;227331;230594;231464;233833;234594;320595;320817;100043597","Gigyf2;Adar;Mier1;Tut4;Ago4;Pum1;Cnot6l;Tnrc6a;Srcap;Elavl1;Cnot1;Cnot2;Atad2b;Ddx17;Dgcr8;Hira;Smchd1;Hells;Phf8","Excitatory","FCDvsNT","BP","Down"
"21","GO:0018205","peptidyl-lysine modification","http://amigo.geneontology.org/amigo/term/GO:0018205",340,31,15.9225725881986,1.94692156862745,0.00030150152496744,0.0136010687929756,"11909;12753;17765;52615;54169;56469;57261;66867;69188;72895;73473;75302;75560;75826;76719;79221;94246;107823;108155;109113;109263;214133;215351;217031;217588;223870;225888;233532;234135;235626;328572","Atf2;Tet2;Rlf;Kmt2e;Nsd2;Clock;Mtf2;Ep400;Setd5;Rsf1;Nsd3;Hmg20a;Pias1;Senp6;Setd2;Suz12;Tada2a;Kansl1;Asxl2;Hdac9;Mbip;Arid4b;Kat6b;Ep300;Senp1;Senp2;Brd4;Iws1;Kmt5b;Uhrf2;Ogt","Excitatory","FCDvsNT","BP","Down"
"22","GO:0034504","protein localization to nucleus","http://amigo.geneontology.org/amigo/term/GO:0034504",269,26,12.5975647830159,2.06389095415118,0.000374576862164799,0.0160082322146219,"11865;12298;16367;18711;18760;18767;22427;26416;56417;64009;71177;72400;76582;97112;108155;170762;218210;227720;230500;230908;237542;269113;269966;320727;320938;328572","Pikfyve;Irs1;Nup214;Cacnb4;Pkia;Nmd3;Adar;Efcab7;Tardbp;Nup54;Tnpo3;Ints13;Ipo8;Nup98;Arntl;Wrn;Syne1;Osbpl8;Prkd1;Nup153;Ipo11;Pinx1;Nup155;Ep300;Mapk14;Ogt","Excitatory","FCDvsNT","BP","Down"
"23","GO:0031929","TOR signaling","http://amigo.geneontology.org/amigo/term/GO:0031929",107,14,5.01092725569778,2.79389408099688,0.000455732853712254,0.0177764690037994,"11865;11920;22222;23797;72508;78757;101148;108686;140742;216742;224023;252875;271981;277854","Akt3;Ubr1;Tbck;Depdc5;Mios;Bmt2;Arntl;Atm;Sesn1;Ccdc88a;Fnip1;Rps6kb1;Rictor;Klhl22","Excitatory","FCDvsNT","BP","Down"
"24","GO:0010608","posttranscriptional regulation of gene expression","http://amigo.geneontology.org/amigo/term/GO:0010608",411,35,19.2475803933812,1.8184103811841,0.000459736267339639,0.0177764690037994,"12877;15568;17876;21841;52477;56417;64602;66118;67070;67493;71373;72068;72416;72508;74326;76071;76850;80912;94223;100715;226352;226517;227331;229096;230594;230908;231279;231464;232560;233833;234069;234594;236732;319817;328572","Gigyf2;Epb41l5;Smg7;Angel2;Rc3h2;Myef2;Ythdf3;Adar;Tut4;Ago4;Pum1;Hnrnpr;Tardbp;Jakmip1;Guf1;Cnot6l;Tia1;Caprin2;Lsm14a;Cpeb1;Tnrc6a;Elavl1;Pcid2;Cnot1;Ireb2;Cnot2;Sarnp;Mettl16;Rps6kb1;Tent2;Ep300;Dgcr8;Lrpprc;Prr16;Rbm10","Excitatory","FCDvsNT","BP","Down"
"25","GO:0007033","vacuole organization","http://amigo.geneontology.org/amigo/term/GO:0007033",149,17,6.97783328129878,2.43628635346756,0.00060351028268335,0.0220782429280432,"12421;17158;18711;21821;29869;51897;67727;72175;72739;74438;75964;77040;77963;215890;218035;242557;320191","Rb1cc1;Pikfyve;Atg16l1;Atg13;Mfsd8;Clvs1;Stx17;Hook1;Atg4c;Hook3;Clvs2;Ulk2;Vps41;Zkscan3;Ift88;Man2a1;Trappc8","Excitatory","FCDvsNT","BP","Down"
"26","GO:0045786","negative regulation of cell cycle","http://amigo.geneontology.org/amigo/term/GO:0045786",418,35,19.5753980643147,1.78795853269537,0.000625368949932259,0.0220782429280432,"11909;11920;12298;12366;12753;13383;14453;17248;17685;18004;18763;18764;19272;19356;26416;27223;28135;52477;68014;69188;71701;71943;72400;94315;109113;214498;218294;224023;225131;227331;231600;234069;235323;240255;329795","Gigyf2;Mdm4;Cdc73;Angel2;Cacnb4;Atf2;Trp53bp1;Prcc;Tmem67;Kmt2e;Clock;Pkd2;Chfr;Casp2;Gas2;Pcid2;Nek1;Usp28;Atm;Zwilch;Cep63;Ptprk;Pnpt1;Tom1l1;Cdc14b;Rad17;Pinx1;Klhl22;Dlg1;Pkd1;Mapk14;Msh2;Wac;Ythdc2;Uhrf2","Excitatory","FCDvsNT","BP","Down"
"27","GO:0031503","protein-containing complex localization","http://amigo.geneontology.org/amigo/term/GO:0031503",235,23,11.0053075241961,2.08990070921986,0.000673128290000102,0.0227741738116701,"12589;13383;18536;19893;26414;59015;64009;66118;68259;71514;73473;73668;97112;110350;170762;213081;227720;234069;235626;241950;246317;252875;331401","Nup214;Ttc21b;Nup160;Bbs12;Ift80;Nmd3;Sfpq;Wdr19;Mapk10;Ift81;Mios;Pcid2;Pcm1;Dync2h1;Setd2;Syne1;Sarnp;Nup155;Dlg1;Iws1;Neto1;Rpgr;Thoc2","Excitatory","FCDvsNT","BP","Down"
"28","GO:0044770","cell cycle phase transition","http://amigo.geneontology.org/amigo/term/GO:0044770",358,31,16.7655323134561,1.84903165735568,0.000726124352238067,0.0227830325006705,"11920;12298;12366;12531;17222;18763;18764;18767;18795;19356;52563;56469;57261;68142;69188;72400;72508;75826;76499;76707;81702;214498;216166;217232;218294;224023;227331;234069;237877;244879;320595","Gigyf2;Clasp1;Cdc73;Cacnb4;Ino80;Anapc1;Cdc25b;Plcb1;Pkia;Kmt2e;Ankrd17;Pkd2;Casp2;Pcid2;Atm;Npat;Pias1;Clasp2;Plk5;Atad5;Rps6kb1;Cdc27;Cdc14b;Rad17;Pinx1;Klhl22;Senp2;Pkd1;Brd4;Cdc23;Phf8","Excitatory","FCDvsNT","BP","Down"
"29","GO:0000209","protein polyubiquitination","http://amigo.geneontology.org/amigo/term/GO:0000209",179,19,8.38276615672807,2.26655493482309,0.000729505966770239,0.0227830325006705,"14897;17222;23806;52563;57438;63958;66313;66799;67128;94253;100763;140629;209462;217232;224170;226541;231600;268281;319817","Ube2w;Trip12;Klhl20;Rc3h2;March7;Anapc1;Ubox5;Ube4b;Ube3c;Chfr;Arih1;Shprh;Hace1;Ube2g1;Cdc27;Smurf2;Hecw1;Dzip3;Cdc23","Excitatory","FCDvsNT","BP","Down"
"30","GO:0007059","chromosome segregation","http://amigo.geneontology.org/amigo/term/GO:0007059",298,27,13.9556665625976,1.93469798657718,0.000798289834934129,0.0240078276283894,"11920;12617;12877;13990;15260;17222;20842;21976;24086;28135;52563;54141;57261;68142;68298;71175;71514;72400;76850;80912;104806;105377;212514;217232;218294;224023;234069","Ino80;Anapc1;Ago4;Sfpq;Pum1;Cenpc1;Smarcad1;Ncapd2;Cpeb1;Pcid2;Atm;Stag1;Cep63;Spag5;Cdc27;Tlk2;Fancm;Cdc14b;Slf1;Pinx1;Nipbl;Top3b;Klhl22;Hira;Spice1;Brd4;Cdc23","Excitatory","FCDvsNT","BP","Down"
"31","GO:0030522","intracellular receptor signaling pathway","http://amigo.geneontology.org/amigo/term/GO:0030522",210,21,9.834530128005,2.13533333333333,0.00086122406076361,0.0249754977621447,"11865;12753;18667;19378;19883;59024;67040;67070;67544;69188;72068;75302;80912;81702;94186;192656;217365;228790;234594;327987;328572","Asxl1;Ripk2;Pum1;Kmt2e;Clock;Ankrd17;Lsm14a;Arntl;Cnot1;Pgr;Rora;Aldh1a2;Cnot2;Med13;Nploc4;Asxl2;Strn3;Ddx17;Ep300;Fam120b;Med12","Excitatory","FCDvsNT","BP","Down"
"32","GO:0006354","DNA-templated transcription, elongation","http://amigo.geneontology.org/amigo/term/GO:0006354",58,9,2.71620355916328,3.31344827586207,0.00139128464302563,0.0389559700047175,"12455;57261;66505;69131;72949;192657;214498;234069;235626","Ccnt2;Cdc73;Pcid2;Setd2;Cdk12;Zmynd11;Ell2;Ccnt1;Brd4","Excitatory","FCDvsNT","BP","Down"
"33","GO:0021915","neural tube development","http://amigo.geneontology.org/amigo/term/GO:0021915",176,18,8.24227286918514,2.18386363636364,0.0015260721075171,0.0413056850434627,"16974;18763;18764;18845;19378;22289;26409;54006;59024;68146;99683;213081;225876;235626;244585;277939;380614;654470","Plxna2;Intu;Sec24b;Map3k7;Wdr19;Pkd2;Tctn1;Lrp6;C2cd3;Deaf1;Rpgrip1l;Aldh1a2;Setd2;Arl13b;Pkd1;Kdm2a;Kdm6a;Med12","Excitatory","FCDvsNT","BP","Down"
"34","GO:0071826","ribonucleoprotein complex subunit organization","http://amigo.geneontology.org/amigo/term/GO:0071826",221,21,10.3496721823291,2.02904977375566,0.00164354391217747,0.0430502469899389,"11920;12121;22258;56195;56417;66410;67070;67684;72068;74200;76850;83486;100019;192196;214498;231464;234594;269061;269254;272009;432508","Cdc73;Setx;Khdc4;Adar;Ptbp2;Mdn1;Srsf12;Ago4;Cnot6l;Luc7l2;Bicd1;Lsm14a;Cnot1;Atm;Rbm5;Usp4;Cnot2;Cpsf6;Luc7l3;Mterf3;Cpsf7","Excitatory","FCDvsNT","BP","Down"
"35","GO:1902115","regulation of organelle assembly","http://amigo.geneontology.org/amigo/term/GO:1902115",193,19,9.03840149859507,2.10214162348877,0.00178984367810975,0.0454172833320349,"18711;20842;21821;26419;52184;54141;64009;72068;74694;108686;212514;215351;225523;231464;234594;319675;328572;329795;381644","Pikfyve;Odf2l;Tmem67;Cep135;Cnot6l;Cnot1;Cep295;Senp6;Stag1;Syne1;Cnot2;Tbc1d30;Ccdc88a;Spag5;Mapk8;Ift88;Ep300;Spice1;Cep120","Excitatory","FCDvsNT","BP","Down"
"36","GO:0008214","protein dealkylation","http://amigo.geneontology.org/amigo/term/GO:0008214",29,6,1.35810177958164,4.41793103448276,0.00194147414398627,0.0477720304520257,"20591;22289;75605;214899;225876;320595","Kdm5b;Kdm5a;Kdm2a;Kdm6a;Phf8;Kdm5c","Excitatory","FCDvsNT","BP","Down"
"37","GO:0006397","mRNA processing","http://amigo.geneontology.org/amigo/term/GO:0006397",407,27,9.49836091164533,2.84259571216093,1.03303301735025e-06,0.000838822810088402,"12877;18789;21841;56194;56195;66660;67039;67040;68675;72587;74200;74213;74320;83486;100715;110809;192196;214627;218543;219249;224432;231769;269254;269966;331401;338351;432508","Setx;Prpf40a;Khdc4;Ptbp2;Sfswap;Pan3;Luc7l2;Tia1;Cpeb1;Nup98;Tent4b;Sltm;Rbm5;Cpsf6;Srsf1;Rbm25;Papola;Fam172a;Tent2;Srek1;Tdrd3;Rbm26;Ddx17;Scaf4;Wdr33;Akap17b;Thoc2","Inhibitory","FCDvsNT","BP","Down"
"38","GO:0033044","regulation of chromosome organization","http://amigo.geneontology.org/amigo/term/GO:0033044",318,22,7.42132375897596,2.96443070192045,5.48857383542156e-06,0.00222836097718115,"15260;24086;26419;69188;70790;71148;71175;72895;73086;75302;76804;105377;108155;214627;217031;225876;233789;234135;320595;320817;328572;329152","Hecw2;Kdm4c;Mier1;Kmt2e;Setd5;Smg1;Nsd3;Tent4b;Tada2a;Tlk2;Asxl2;Atad2b;Rps6ka5;Slf1;Mapk8;Nipbl;Ubr5;Ep300;Hira;Kdm2a;Ogt;Phf8","Inhibitory","FCDvsNT","BP","Down"
"39","GO:0016569","covalent chromatin modification","http://amigo.geneontology.org/amigo/term/GO:0016569",434,26,10.1284733062754,2.56702063714686,1.04970721317432e-05,0.0028412075236585,"11909;12648;26419;54169;69188;70790;71148;71175;72895;73086;75302;76073;76719;76804;94246;108155;110616;214133;217031;217588;225876;233532;234135;320595;321006;328572","Atf2;Tet2;Kdm4c;Mier1;Kmt2e;Setd5;Rsf1;Nsd3;Dcaf1;Tada2a;Kansl1;Asxl2;Mbip;Rps6ka5;Atxn3;Arid4b;Kat6b;Mapk8;Nipbl;Ubr5;Ep300;Chd1;Kdm2a;Pcgf5;Ogt;Phf8","Inhibitory","FCDvsNT","BP","Down"
"40","GO:1903311","regulation of mRNA metabolic process","http://amigo.geneontology.org/amigo/term/GO:1903311",221,17,5.15758663752732,3.29611525598148,1.68564165997642e-05,0.00342185256975214,"12877;17876;18789;21841;26383;66660;67039;67040;68675;83486;110809;218543;227331;229096;231769;269966;432508","Gigyf2;Myef2;Ythdf3;Sfswap;Tia1;Cpeb1;Nup98;Fto;Sltm;Rbm5;Cpsf6;Srsf1;Rbm25;Papola;Fam172a;Srek1;Ddx17","Inhibitory","FCDvsNT","BP","Down"
"41","GO:0031929","TOR signaling","http://amigo.geneontology.org/amigo/term/GO:0031929",107,10,2.49711208242273,4.00462601194011,0.000196535772162054,0.0319174093991176,"11865;23797;72508;78757;108686;140742;216742;252875;271981;277854","Akt3;Tbck;Depdc5;Mios;Arntl;Sesn1;Ccdc88a;Fnip1;Rps6kb1;Rictor","Inhibitory","FCDvsNT","BP","Down"
"42","GO:0044782","cilium organization","http://amigo.geneontology.org/amigo/term/GO:0044782",318,29,11.5415235716516,2.51266653141273,4.88859666247787e-06,0.00396954048993203,"12589;13193;15379;17152;19893;51938;52398;54562;56526;64009;67661;68121;69329;70235;74025;74694;93840;102747;110350;216274;216846;230872;231214;236266;239789;244585;329795;381738;544696","Vangl2;Ccdc39;Tmem67;Cfap206;Crocc;Drc1;Ift172;Cc2d2a;Sept11;Ift81;Alms1;Rpgrip1l;Dync2h1;Lrrc49;Onecut1;Cep70;Nphp3;Poc1a;Syne1;Tbc1d32;Cep290;Tbc1d30;Cntrob;Mak;Lrrc6;Gmnc;Rpgr;Sept6;Dcx","Excitatory","FCDvsSHAM","BP","Down"
